name	tantan	without tantan
T1024	 0.9661	 0.9700
T1025	 0.9218	 0.9218
T1026	 0.9325	 0.9413
T1027	 0.4853	 0.4877
T1028	 0.9538	 0.9540
T1029	 0.4682	 0.4682
T1030	 0.7167	 0.7425
T1031	 0.8784	 0.8603
T1032	 0.6994	 0.6994
T1033	 0.2568	 0.2443
T1034	 0.9471	 0.9468
T1035	 0.8159	 0.6205
T1036s1	 0.8740	 0.8757
T1037	 0.8507	 0.8802
T1038	 0.8710	 0.9046
T1039	 0.8591	 0.8653
T1040	 0.5680	 0.5639
T1041	 0.9152	 0.9176
T1042	 0.7610	 0.7346
T1043	 0.2079	 0.2090
T1044	 0.9397	 0.9553
T1045s1	 0.9689	 0.9686
T1045s2	 0.9387	 0.9403
T1046s1	 0.9389	 0.9354
T1046s2	 0.9832	 0.9840
T1047s1	 0.5287	 0.5379
T1047s2	 0.8440	 0.8515
T1049	 0.9371	 0.9356
T1050	 0.9709	 0.9710
T1051	 0.4673	 0.4670
T1052	 0.6843	 0.6922
T1053	 0.9809	 0.9814
T1054	 0.9197	 0.9208
T1055	 0.8952	 0.8987
T1056	 0.9672	 0.9760
T1057	 0.9639	 0.9582
T1058	 0.9550	 0.9550
T1059	 0.3404	 0.3409
T1060s2	 0.8990	 0.8695
T1060s3	 0.9133	 0.9242
T1061	 0.8755	 0.7726
T1064	 0.2932	 0.6209
T1065s1	 0.9631	 0.9640
T1065s2	 0.9710	 0.9700
T1068	 0.9725	 0.9670
T1070	 0.5111	 0.5274
T1072s1	 0.7031	 0.6793
T1073	 0.7696	 0.7694
T1074	 0.9359	 0.9277
T1076	 0.9952	 0.9948
T1078	 0.9613	 0.9584
T1079	 0.9846	 0.9838
T1080	 0.8862	 0.8308
T1083	 0.8107	 0.8174
T1084	 0.9206	 0.9058
T1087	 0.9476	 0.9449
T1088	 0.7958	 0.7961
T1089	 0.9920	 0.9920
T1090	 0.9372	 0.8452
T1091	 0.8266	 0.8464
T1092	 0.5990	 0.6474
T1093	 0.7753	 0.7263
T1094	 0.9185	 0.9149
T1095	 0.8720	 0.8872
T1096	 0.5694	 0.5750
T1099	 0.8570	 0.8456
T1100	 0.9270	 0.9415
T1101	 0.9420	 0.9429
